year,population
1944,6374980
1945,6651040
1946,7696580
1947,7949780
1948,8135380
1949,8205310
1950,8260440
1951,8195630
1952,8211960
1953,8181200
1954,8162470
1955,8129280
1956,8103140
1957,8080110
1958,8048020
1959,8024760
1960,8022550
1961,7960520
1962,7980850
1963,7972840
1964,7978900
1965,7948270
1966,7913600
1967,7880760
1968,7763820
1969,7704500
1970,7612300
1971,7418020
1972,7353810
1973,7281080
1974,7167600
1975,7111500
1976,7021400
1977,6970100
1978,6918000
1979,6877100
1980,6849100
1981,6851400
1982,6765100
1983,6754500
1984,6756000
1985,6767500
1986,6775200
1987,6755300
1988,6735400
1989,6756400
1990,6794400
1991,6803100
1992,6904600
1993,6904600
1994,6904600